InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
583533,POST0017,Product Item 0017,6,2025-05-18 20:53:00,29.62,17486,United Kingdom
581693,POST0009,Product Item 0009,16,2025-03-29 16:06:00,28.73,13478,United Kingdom
585120,POST0011,Product Item 0011,22,2024-10-17 02:51:00,28.69,14556,United Kingdom
581155,POST0015,Product Item 0015,22,2025-06-17 18:30:00,30.76,12775,United Kingdom
584588,POST0024,Product Item 0024,21,2024-07-11 19:06:00,34.3,16014,United Kingdom
587775,POST0038,Product Item 0038,21,2024-05-29 14:02:00,40.53,12034,United Kingdom
582812,POST0055,Product Item 0055,2,2025-05-29 22:01:00,14.58,15152,United Kingdom
586649,POST0035,Product Item 0035,24,2025-01-27 11:29:00,41.51,13955,United Kingdom
587062,POST0030,Product Item 0030,8,2024-11-11 09:34:00,25.66,13585,Spain
586829,POST0031,Product Item 0031,11,2024-03-16 02:44:00,5.24,15943,United Kingdom
586176,POST0049,Product Item 0049,13,2025-08-21 06:22:00,4.34,15073,United Kingdom
586724,POST0005,Product Item 0005,17,2024-09-26 03:28:00,17.71,13021,United Kingdom
585114,POST0044,Product Item 0044,8,2024-08-12 23:32:00,39.56,15461,United Kingdom
582407,POST0050,Product Item 0050,21,2025-06-13 03:43:00,35.82,14613,United Kingdom
582216,POST0014,Product Item 0014,18,2024-04-22 00:02:00,39.74,17225,United Kingdom
587380,POST0053,Product Item 0053,18,2024-09-07 06:11:00,26.58,15843,United Kingdom
582410,POST0056,Product Item 0056,14,2024-08-20 10:10:00,22.85,13500,United Kingdom
584497,POST0011,Product Item 0011,15,2024-03-23 01:55:00,8.65,16798,United Kingdom
585372,POST0009,Product Item 0009,6,2024-05-04 21:33:00,17.41,17675,United Kingdom
588394,POST0034,Product Item 0034,11,2024-06-23 07:26:00,22.55,12161,EIRE
585840,POST0012,Product Item 0012,13,2024-03-09 23:11:00,5.8,16297,Germany
581551,POST0035,Product Item 0035,1,2024-02-16 21:16:00,12.2,13981,United Kingdom
584394,POST0035,Product Item 0035,6,2024-09-12 22:20:00,30.51,12995,United Kingdom
582176,POST0001,Product Item 0001,9,2024-01-30 06:54:00,37.17,16911,United Kingdom
585734,POST0040,Product Item 0040,8,2024-10-07 18:38:00,49.91,15342,EIRE
585332,POST0022,Product Item 0022,11,2024-08-24 14:51:00,46.75,16551,United Kingdom
581997,POST0029,Product Item 0029,22,2024-09-04 17:27:00,32.66,15798,United Kingdom
585076,POST0008,Product Item 0008,19,2025-01-02 11:02:00,21.93,13275,Germany
587198,POST0011,Product Item 0011,24,2025-05-09 17:53:00,32.35,13016,United Kingdom
587099,POST0041,Product Item 0041,9,2024-01-25 11:57:00,39.6,12337,United Kingdom
586555,POST0037,Product Item 0037,17,2025-08-08 22:38:00,7.24,12878,United Kingdom
583731,POST0014,Product Item 0014,12,2025-05-04 18:22:00,21.38,13076,United Kingdom
587252,POST0030,Product Item 0030,14,2025-05-08 17:30:00,42.22,16887,United Kingdom
584937,POST0035,Product Item 0035,15,2024-11-09 04:30:00,20.11,15993,Spain
585052,POST0021,Product Item 0021,16,2025-08-28 09:21:00,29.23,16859,Germany
586303,POST0037,Product Item 0037,22,2025-01-09 13:23:00,30.0,12379,United Kingdom
586487,POST0005,Product Item 0005,22,2025-09-30 04:06:00,10.45,12492,United Kingdom
587102,POST0019,Product Item 0019,20,2024-01-25 06:26:00,19.06,17276,United Kingdom
586317,POST0059,Product Item 0059,1,2024-11-29 11:41:00,17.72,14062,EIRE
586490,POST0014,Product Item 0014,10,2024-12-20 09:18:00,2.77,15884,United Kingdom
581372,POST0026,Product Item 0026,8,2024-04-25 16:12:00,2.67,12064,United Kingdom
588116,POST0004,Product Item 0004,18,2024-02-17 23:04:00,41.83,14568,United Kingdom
586616,POST0025,Product Item 0025,1,2024-04-08 16:23:00,14.74,17463,United Kingdom
588766,POST0045,Product Item 0045,2,2025-04-03 05:51:00,26.62,17248,United Kingdom
583248,POST0042,Product Item 0042,1,2025-06-06 21:19:00,15.99,14027,United Kingdom
581848,POST0025,Product Item 0025,1,2025-08-19 20:45:00,47.11,14695,United Kingdom
583556,POST0018,Product Item 0018,9,2025-02-08 12:32:00,14.07,13495,Germany
586441,POST0040,Product Item 0040,13,2024-08-01 13:00:00,22.33,17258,United Kingdom
583322,POST0008,Product Item 0008,1,2025-11-15 17:04:00,43.82,17618,United Kingdom
587354,POST0039,Product Item 0039,13,2025-05-17 09:05:00,42.33,12391,Spain
581503,POST0040,Product Item 0040,20,2025-03-23 01:18:00,10.52,17794,United Kingdom
584189,POST0014,Product Item 0014,22,2025-07-29 20:59:00,40.42,16514,United Kingdom
581702,POST0032,Product Item 0032,7,2024-09-14 05:33:00,23.72,16474,United Kingdom
584625,POST0051,Product Item 0051,2,2024-04-30 14:48:00,24.92,17892,United Kingdom
587185,POST0038,Product Item 0038,6,2024-02-23 22:52:00,7.97,15561,United Kingdom
581314,POST0033,Product Item 0033,7,2024-11-26 18:41:00,5.41,14278,Spain
587931,POST0023,Product Item 0023,14,2024-08-28 18:25:00,36.8,15099,United Kingdom
583376,POST0015,Product Item 0015,18,2025-06-13 08:21:00,25.57,12200,United Kingdom
582040,POST0033,Product Item 0033,15,2025-04-27 12:44:00,22.68,17959,United Kingdom
585378,POST0025,Product Item 0025,2,2024-07-05 15:20:00,36.87,16875,Germany
583990,POST0017,Product Item 0017,10,2025-10-17 09:09:00,38.62,15104,United Kingdom
581257,POST0033,Product Item 0033,23,2024-09-18 00:13:00,9.21,16598,United Kingdom
581574,POST0047,Product Item 0047,12,2024-12-29 06:31:00,31.09,14454,United Kingdom
585669,POST0055,Product Item 0055,17,2025-05-05 22:50:00,8.06,15645,United Kingdom
587755,POST0002,Product Item 0002,8,2025-03-06 05:09:00,37.93,17847,United Kingdom
586138,POST0014,Product Item 0014,11,2024-08-26 06:25:00,33.36,12804,Germany
582552,POST0053,Product Item 0053,3,2024-10-30 20:32:00,47.89,14731,United Kingdom
587980,POST0040,Product Item 0040,6,2024-10-24 23:00:00,4.84,17991,United Kingdom
585518,POST0040,Product Item 0040,9,2024-03-16 16:13:00,4.27,14773,United Kingdom
586585,POST0051,Product Item 0051,6,2025-11-30 18:37:00,15.18,13570,France
586492,POST0039,Product Item 0039,9,2024-11-28 18:36:00,14.19,17056,United Kingdom
581757,POST0051,Product Item 0051,7,2025-10-03 05:39:00,13.48,17581,United Kingdom
583810,POST0006,Product Item 0006,9,2025-04-18 09:56:00,45.44,14690,United Kingdom
582104,POST0006,Product Item 0006,18,2024-10-09 12:36:00,13.6,15840,United Kingdom
586670,POST0003,Product Item 0003,12,2025-08-13 17:25:00,14.69,13028,United Kingdom
588715,POST0007,Product Item 0007,8,2024-03-12 04:50:00,38.32,12502,Germany
587567,POST0051,Product Item 0051,8,2024-09-19 05:05:00,23.31,16493,France
585524,POST0008,Product Item 0008,18,2025-07-28 10:33:00,39.16,12870,United Kingdom
584459,POST0042,Product Item 0042,20,2024-01-12 19:11:00,4.67,16488,United Kingdom
587117,POST0052,Product Item 0052,15,2024-05-20 10:24:00,25.14,12206,United Kingdom
584992,POST0015,Product Item 0015,7,2025-07-08 15:38:00,3.13,17134,United Kingdom
588876,POST0047,Product Item 0047,11,2024-01-17 21:36:00,4.54,17977,United Kingdom
588837,POST0029,Product Item 0029,20,2024-03-03 14:07:00,45.45,13484,United Kingdom
581203,POST0033,Product Item 0033,16,2024-09-09 07:21:00,8.25,12863,United Kingdom
587339,POST0052,Product Item 0052,4,2025-04-09 08:22:00,27.32,14790,United Kingdom
583775,POST0030,Product Item 0030,6,2025-01-10 02:09:00,21.43,12563,United Kingdom
583332,POST0039,Product Item 0039,22,2025-06-03 19:15:00,18.34,17116,United Kingdom
582992,POST0027,Product Item 0027,3,2024-03-30 09:56:00,45.13,16191,United Kingdom
583243,POST0036,Product Item 0036,9,2025-09-21 14:21:00,2.56,13757,United Kingdom
581306,POST0029,Product Item 0029,10,2024-06-23 23:33:00,33.69,13678,United Kingdom
582687,POST0038,Product Item 0038,14,2024-03-16 09:52:00,48.21,15242,United Kingdom
585109,POST0057,Product Item 0057,11,2025-09-04 16:38:00,28.66,16636,United Kingdom
582860,POST0033,Product Item 0033,18,2025-10-24 05:24:00,46.93,13059,United Kingdom
588313,POST0037,Product Item 0037,22,2025-02-03 18:12:00,4.03,17279,United Kingdom
582961,POST0027,Product Item 0027,12,2024-03-11 07:27:00,21.81,13722,United Kingdom
586176,POST0055,Product Item 0055,23,2024-06-28 13:38:00,14.12,15314,United Kingdom
581722,POST0033,Product Item 0033,12,2024-05-03 19:48:00,36.94,15157,EIRE
581779,POST0004,Product Item 0004,13,2025-01-15 11:48:00,49.08,17915,United Kingdom
586329,POST0022,Product Item 0022,13,2024-10-19 04:24:00,13.94,14625,United Kingdom
581528,POST0002,Product Item 0002,19,2024-07-13 10:11:00,33.22,14729,United Kingdom
585893,POST0010,Product Item 0010,19,2024-08-15 22:45:00,11.11,13597,United Kingdom
581343,POST0005,Product Item 0005,23,2025-03-06 13:51:00,28.91,15060,United Kingdom
584786,POST0059,Product Item 0059,14,2025-03-11 21:41:00,24.0,14693,United Kingdom
584682,POST0010,Product Item 0010,4,2025-04-05 11:13:00,48.63,16891,United Kingdom
586398,POST0033,Product Item 0033,13,2025-09-09 02:36:00,31.01,17147,United Kingdom
581208,POST0054,Product Item 0054,8,2024-01-21 04:10:00,18.45,17739,United Kingdom
585736,POST0038,Product Item 0038,23,2024-03-04 14:37:00,7.03,15627,United Kingdom
584406,POST0013,Product Item 0013,21,2024-06-13 08:49:00,8.83,13363,Netherlands
582311,POST0031,Product Item 0031,23,2024-01-27 05:26:00,12.43,13981,United Kingdom
583299,POST0047,Product Item 0047,19,2024-11-06 16:00:00,13.67,17450,United Kingdom
584336,POST0036,Product Item 0036,12,2024-10-11 14:54:00,42.75,13663,United Kingdom
587414,POST0045,Product Item 0045,18,2025-10-21 01:36:00,28.71,13529,Spain
582947,POST0024,Product Item 0024,6,2024-10-07 08:32:00,26.88,14038,United Kingdom
581919,POST0052,Product Item 0052,18,2024-06-12 03:35:00,7.07,17592,United Kingdom
586819,POST0056,Product Item 0056,19,2024-08-11 19:15:00,43.21,15302,United Kingdom
583044,POST0015,Product Item 0015,22,2024-05-25 21:23:00,36.55,14237,United Kingdom
581418,POST0029,Product Item 0029,5,2024-01-30 02:04:00,4.78,17504,United Kingdom
582749,POST0008,Product Item 0008,24,2024-02-14 18:25:00,35.82,17496,United Kingdom
583842,POST0005,Product Item 0005,9,2025-04-15 21:46:00,27.86,13306,United Kingdom
588378,POST0029,Product Item 0029,3,2024-02-03 00:58:00,5.46,16029,United Kingdom
586484,POST0047,Product Item 0047,10,2025-10-14 02:40:00,23.72,14675,United Kingdom
582099,POST0004,Product Item 0004,19,2025-03-02 04:43:00,25.0,17068,United Kingdom
588827,POST0012,Product Item 0012,3,2024-08-08 01:45:00,9.54,17864,United Kingdom
584392,POST0045,Product Item 0045,22,2025-06-17 18:48:00,47.36,13282,United Kingdom
583772,POST0002,Product Item 0002,15,2025-11-22 03:47:00,42.72,12709,United Kingdom
583480,POST0027,Product Item 0027,1,2025-01-01 05:17:00,33.94,17575,Spain
587252,POST0031,Product Item 0031,7,2025-07-03 13:21:00,23.92,17530,United Kingdom
587784,POST0051,Product Item 0051,12,2025-08-04 14:33:00,21.47,16744,United Kingdom
582545,POST0051,Product Item 0051,17,2024-04-25 07:51:00,33.07,16413,United Kingdom
582070,POST0036,Product Item 0036,21,2024-08-26 17:59:00,27.95,15748,Spain
587522,POST0036,Product Item 0036,24,2024-11-30 10:24:00,4.52,17353,United Kingdom
582850,POST0026,Product Item 0026,20,2025-03-16 00:12:00,26.35,16779,United Kingdom
586215,POST0043,Product Item 0043,5,2024-05-27 17:21:00,40.6,12663,United Kingdom
586053,POST0027,Product Item 0027,4,2024-01-09 11:33:00,23.77,13998,United Kingdom
585198,POST0005,Product Item 0005,12,2024-10-14 16:12:00,4.02,15445,United Kingdom
583939,POST0020,Product Item 0020,20,2025-01-22 01:52:00,39.63,15743,United Kingdom
587997,POST0011,Product Item 0011,24,2024-02-19 03:48:00,11.26,17727,United Kingdom
586265,POST0010,Product Item 0010,18,2025-05-31 02:50:00,14.04,13495,Spain
582903,POST0040,Product Item 0040,17,2025-09-29 04:54:00,9.49,15304,United Kingdom
588194,POST0038,Product Item 0038,19,2025-08-09 03:08:00,17.51,15763,United Kingdom
586851,POST0006,Product Item 0006,9,2025-11-07 07:05:00,38.19,17232,United Kingdom
587673,POST0008,Product Item 0008,4,2024-10-04 16:16:00,26.69,13853,United Kingdom
581678,POST0023,Product Item 0023,21,2024-10-26 18:22:00,11.43,17616,United Kingdom
587064,POST0047,Product Item 0047,2,2025-08-11 10:57:00,44.07,16659,United Kingdom
581988,POST0026,Product Item 0026,4,2025-10-10 15:18:00,44.15,13291,United Kingdom
586201,POST0046,Product Item 0046,2,2025-09-09 20:05:00,43.71,15581,Germany
583475,POST0043,Product Item 0043,15,2025-08-29 08:18:00,13.08,15457,EIRE
582607,POST0012,Product Item 0012,2,2024-05-14 12:41:00,23.38,13636,United Kingdom
583869,POST0026,Product Item 0026,4,2025-08-02 14:25:00,49.26,15696,United Kingdom
582502,POST0013,Product Item 0013,6,2024-05-26 13:45:00,38.93,14999,EIRE
582789,POST0040,Product Item 0040,7,2025-05-04 01:10:00,2.82,15152,United Kingdom
586281,POST0018,Product Item 0018,10,2025-04-22 04:07:00,4.66,12698,France
586027,POST0025,Product Item 0025,19,2024-06-07 02:25:00,24.0,14160,United Kingdom
582425,POST0033,Product Item 0033,19,2025-01-18 21:59:00,45.59,16097,United Kingdom
588675,POST0047,Product Item 0047,22,2024-06-11 09:41:00,27.62,16737,United Kingdom
586157,POST0040,Product Item 0040,12,2025-03-16 07:49:00,25.64,17685,United Kingdom
587074,POST0043,Product Item 0043,3,2024-07-07 03:12:00,6.61,12854,United Kingdom
587654,POST0012,Product Item 0012,13,2025-02-18 18:11:00,33.35,17855,United Kingdom
583440,POST0044,Product Item 0044,18,2024-12-04 08:13:00,41.36,15474,United Kingdom
583042,POST0036,Product Item 0036,8,2025-08-29 00:51:00,19.95,17757,United Kingdom
587856,POST0048,Product Item 0048,21,2024-06-29 14:41:00,39.11,17249,United Kingdom
587637,POST0004,Product Item 0004,15,2024-10-14 06:02:00,48.27,17172,Spain
588367,POST0005,Product Item 0005,1,2024-07-05 15:16:00,11.38,13707,United Kingdom
582278,POST0056,Product Item 0056,3,2024-05-17 07:53:00,26.88,14777,Germany
586298,POST0037,Product Item 0037,8,2024-05-09 08:40:00,15.42,17791,United Kingdom
583594,POST0008,Product Item 0008,4,2024-07-12 22:01:00,39.95,13733,United Kingdom
585689,POST0042,Product Item 0042,16,2024-11-11 11:30:00,29.51,17535,Spain
583436,POST0049,Product Item 0049,23,2024-05-23 20:21:00,32.27,16931,United Kingdom
586517,POST0028,Product Item 0028,10,2024-01-16 19:11:00,40.19,15510,United Kingdom
584803,POST0031,Product Item 0031,12,2024-10-28 08:51:00,20.7,12202,United Kingdom
583205,POST0058,Product Item 0058,14,2025-02-26 23:54:00,45.87,15255,United Kingdom
582027,POST0009,Product Item 0009,14,2024-09-01 13:59:00,27.35,16218,United Kingdom
587310,POST0054,Product Item 0054,2,2024-04-16 18:08:00,9.16,16496,France
584539,POST0051,Product Item 0051,23,2024-03-28 04:00:00,35.24,12766,United Kingdom
586055,POST0029,Product Item 0029,5,2024-05-08 23:12:00,39.97,16389,United Kingdom
587552,POST0014,Product Item 0014,5,2024-12-06 08:55:00,16.86,14327,United Kingdom
584483,POST0040,Product Item 0040,6,2024-01-04 23:27:00,43.06,14931,United Kingdom
588371,POST0041,Product Item 0041,13,2024-11-22 01:22:00,45.44,12197,United Kingdom
583241,POST0022,Product Item 0022,9,2025-02-13 16:21:00,14.93,13930,United Kingdom
587378,POST0011,Product Item 0011,22,2024-11-01 15:50:00,49.19,15582,United Kingdom
583765,POST0023,Product Item 0023,15,2025-08-29 10:10:00,8.32,12608,United Kingdom
582173,POST0001,Product Item 0001,14,2024-08-12 09:33:00,11.3,15272,United Kingdom
584230,POST0046,Product Item 0046,24,2024-12-13 04:45:00,10.43,13147,United Kingdom
584350,POST0037,Product Item 0037,7,2024-11-16 16:28:00,44.85,16282,United Kingdom
585911,POST0021,Product Item 0021,20,2025-07-12 07:38:00,33.23,15397,United Kingdom
581403,POST0026,Product Item 0026,2,2024-06-29 20:35:00,8.88,14511,France
585988,POST0046,Product Item 0046,7,2025-09-09 02:05:00,22.85,13794,United Kingdom
583725,POST0036,Product Item 0036,6,2025-01-20 23:56:00,31.34,12659,United Kingdom
584382,POST0054,Product Item 0054,17,2025-09-09 07:04:00,5.55,14811,United Kingdom
585163,POST0023,Product Item 0023,2,2024-04-17 09:13:00,44.29,13369,United Kingdom
588630,POST0057,Product Item 0057,3,2025-06-14 10:09:00,40.47,13986,United Kingdom
581087,POST0001,Product Item 0001,5,2025-02-13 19:41:00,26.0,17630,United Kingdom
587360,POST0054,Product Item 0054,5,2024-10-22 01:51:00,48.4,12146,United Kingdom
587144,POST0055,Product Item 0055,1,2024-06-19 06:41:00,21.76,15219,United Kingdom
582158,POST0051,Product Item 0051,8,2024-11-26 02:01:00,49.22,14911,United Kingdom
586816,POST0040,Product Item 0040,12,2025-05-07 04:32:00,33.89,13734,United Kingdom
586470,POST0015,Product Item 0015,24,2024-07-13 21:57:00,32.28,13843,United Kingdom
587283,POST0021,Product Item 0021,4,2024-01-12 06:37:00,9.55,12488,United Kingdom
587761,POST0047,Product Item 0047,13,2024-07-13 07:50:00,44.26,14976,Spain
587276,POST0009,Product Item 0009,23,2025-05-04 16:24:00,22.23,13959,Germany
586739,POST0053,Product Item 0053,15,2024-06-30 20:30:00,9.37,17759,United Kingdom
585273,POST0009,Product Item 0009,11,2025-10-17 18:53:00,2.11,14385,Germany
583857,POST0010,Product Item 0010,10,2024-11-11 21:41:00,28.64,14919,EIRE
582381,POST0052,Product Item 0052,3,2025-11-24 09:28:00,27.07,16736,United Kingdom
587523,POST0057,Product Item 0057,22,2024-01-30 18:57:00,36.38,13802,United Kingdom
586003,POST0053,Product Item 0053,14,2025-08-18 14:56:00,44.67,17534,United Kingdom
587801,POST0026,Product Item 0026,16,2025-11-08 13:39:00,5.35,16061,United Kingdom
587593,POST0041,Product Item 0041,10,2024-04-05 14:12:00,36.97,15369,United Kingdom
585681,POST0035,Product Item 0035,10,2025-01-15 11:49:00,10.59,17730,United Kingdom
587606,POST0052,Product Item 0052,12,2025-03-19 05:20:00,43.11,12262,United Kingdom
586085,POST0025,Product Item 0025,9,2024-10-24 02:58:00,41.22,17883,United Kingdom
586227,POST0026,Product Item 0026,1,2024-12-26 14:56:00,27.72,12623,EIRE
587265,POST0011,Product Item 0011,5,2025-01-08 03:38:00,35.94,13016,United Kingdom
583064,POST0038,Product Item 0038,20,2025-07-07 13:08:00,16.74,15643,United Kingdom
586315,POST0002,Product Item 0002,8,2024-10-29 08:11:00,24.35,16976,United Kingdom
583374,POST0007,Product Item 0007,11,2025-02-24 01:00:00,41.34,14049,United Kingdom
581317,POST0018,Product Item 0018,12,2024-09-02 17:57:00,23.77,17423,France
587952,POST0027,Product Item 0027,1,2024-08-24 08:57:00,18.85,15723,United Kingdom
582502,POST0034,Product Item 0034,22,2025-06-17 14:07:00,25.46,16548,United Kingdom
587130,POST0027,Product Item 0027,20,2024-07-03 16:27:00,41.66,15108,United Kingdom
588419,POST0017,Product Item 0017,11,2025-04-12 01:04:00,17.75,17279,United Kingdom
583042,POST0043,Product Item 0043,5,2024-12-28 09:45:00,9.93,16090,United Kingdom
585598,POST0059,Product Item 0059,15,2024-10-09 02:50:00,36.03,14056,United Kingdom
583022,POST0044,Product Item 0044,5,2025-07-06 21:36:00,41.55,15170,United Kingdom
581118,POST0059,Product Item 0059,12,2024-12-01 08:54:00,6.38,13682,United Kingdom
588841,POST0051,Product Item 0051,5,2024-06-10 23:34:00,13.13,14255,United Kingdom
581709,POST0054,Product Item 0054,17,2024-06-08 11:32:00,8.38,13154,EIRE
588665,POST0024,Product Item 0024,17,2025-04-18 22:30:00,18.37,16499,United Kingdom
584557,POST0025,Product Item 0025,24,2025-08-23 01:47:00,23.34,15191,Germany
585140,POST0007,Product Item 0007,12,2024-11-17 19:45:00,37.81,13696,United Kingdom
585409,POST0052,Product Item 0052,24,2024-01-12 13:33:00,33.07,15991,United Kingdom
584250,POST0006,Product Item 0006,15,2025-02-27 16:44:00,31.61,16723,United Kingdom
581417,POST0053,Product Item 0053,15,2024-03-13 07:31:00,18.59,16682,United Kingdom
583603,POST0024,Product Item 0024,6,2025-08-10 20:29:00,42.3,13648,United Kingdom
584854,POST0033,Product Item 0033,12,2024-07-19 09:49:00,24.35,17539,United Kingdom
582101,POST0049,Product Item 0049,20,2025-06-05 17:19:00,48.98,13445,United Kingdom
585421,POST0029,Product Item 0029,18,2025-05-19 05:26:00,32.25,16199,EIRE
588857,POST0043,Product Item 0043,14,2025-11-18 10:07:00,7.62,15923,United Kingdom
584428,POST0022,Product Item 0022,2,2024-02-08 10:58:00,34.29,12253,United Kingdom
586535,POST0026,Product Item 0026,9,2024-02-29 00:01:00,17.26,15183,United Kingdom
587082,POST0028,Product Item 0028,5,2025-07-31 17:13:00,34.78,14557,United Kingdom
587658,POST0050,Product Item 0050,20,2024-11-16 07:13:00,4.88,17592,United Kingdom
583261,POST0021,Product Item 0021,1,2025-03-10 02:04:00,9.98,12098,United Kingdom
585169,POST0049,Product Item 0049,23,2025-09-27 18:24:00,42.99,14200,United Kingdom
584634,POST0007,Product Item 0007,3,2025-11-06 08:04:00,12.52,17980,United Kingdom
586698,POST0017,Product Item 0017,6,2025-02-11 10:51:00,42.09,14961,United Kingdom
581508,POST0020,Product Item 0020,5,2025-01-20 19:33:00,15.04,16973,United Kingdom
583379,POST0041,Product Item 0041,21,2025-11-01 13:19:00,32.67,16433,France
584164,POST0049,Product Item 0049,5,2025-07-22 14:32:00,35.16,15777,United Kingdom
581687,POST0020,Product Item 0020,1,2024-03-18 22:43:00,26.36,14869,United Kingdom
585752,POST0054,Product Item 0054,17,2024-07-12 02:08:00,16.3,15234,United Kingdom
586638,POST0022,Product Item 0022,19,2024-10-11 07:17:00,11.81,15791,United Kingdom
582292,POST0028,Product Item 0028,14,2025-06-10 12:30:00,3.11,12956,United Kingdom
586495,POST0040,Product Item 0040,12,2025-06-07 08:20:00,16.24,17800,United Kingdom
584905,POST0049,Product Item 0049,10,2025-09-04 18:01:00,33.17,16067,United Kingdom
